id,restaurantName,contactNumber,address,ratingOutOf5,restType,orderOnline,bookTable,locality,votes
297,Domino's Pizza,"080 26710070
18602100000","645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,540
298,Oogway Express,"080 48538853
+91 9663634567","18, 24th Main Road, Near Sobha Tulip Apartment, 5th Phase, JP Nagar, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,347
299,Foodiction,+91 9916107070,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",2.8/5,Quick Bites,Yes,No,Banashankari,506
300,Green Onion,+91 8747899743,"4th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",3.3/5,Food Court,No,No,Bannerghatta Road,50
301,Oottupura Family Restaurant,+91 9731552255,"Opposite Shell Petrol Bunk, Gottigare Bannerghatta Road, Bangalore",3.4/5,Quick Bites,Yes,No,Bannerghatta Road,224
302,Sai Abhiruchi,080 49653037,"808, 1st Floor, Above Eye World Optical, 7th Cross, 2nd Stage, BTM, Bangalore",3.7/5,Casual Dining,Yes,No,Bannerghatta Road,335
303,Ranganna Military Hotel,080 43027346,"61, 1st Floor, KR Road, 7th Block, Jayanagar, Bangalore",4.2/5,Quick Bites,No,No,Banashankari,725
304,Cafe Potpourri,"+91 8884553680
+91 7026274274","204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,131
305,Brew Meister,080 49652498,"523, 33rd Cross, Jayanagar, Bangalore",4.1/5,"Microbrewery, Casual Dining",Yes,Yes,Banashankari,970
306,Belly Squad Food Truck,+91 7760617526,"Back Gate of BMS College Hanumanthanagar, Basavanagudi, Bengaluru",3.8/5,Food Truck,No,No,Banashankari,55
307,Chefeana,+91 8050752925,"3474, Maruti Dental College Road, Dodakamanhalli, Opposite Valmark Ananda Apartment, Bannerghatta Road, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,212
308,Stories,080 49653116,"15, 24th Main Road, 1st Phase, JP Nagar, Bangalore",4.2/5,"Pub, Casual Dining",Yes,Yes,Bannerghatta Road,2166
309,The Royal Corner - Pai Viceroy,"+91 9980909054
+91 9845184810","Pai Viceroy, 1504, 16th Cross, 9th Main, 3rd Block, Jayanagar, Bangalore",4.2/5,Casual Dining,Yes,Yes,Banashankari,815
310,Anna Kuteera,+91 9620009302,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",4.0/5,Casual Dining,Yes,No,Banashankari,771
311,J Spice,"+91 8026739252
+91 9008520007","632/A, 24th Cross, 2nd Stage, Banashankari, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,59
312,Pappu Da Dhaba,+91 6361252138,"1424/81, 9th Block East, South End, A Cross, Jayanagar, Bangalore",3.0/5,Quick Bites,Yes,No,Bannerghatta Road,57
313,Cucumber Town,"+91 8884566443
+91 8043365726","45, Kasthuri Nivasa, 2nd Floor, 19th Main, 2nd Stage, BTM, Bangalore",4.2/5,Delivery,Yes,No,Bannerghatta Road,306
314,Utsav,+91 9632695401,"46, 80 Feet Road, 3rd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,Yes,No,Banashankari,59
315,Guru Greens,"+91 9845055553
+91 9845955556","97/2, Gottigere, Bannerghatta Road, Bangalore",3.8/5,Casual Dining,No,No,Bannerghatta Road,89
316,Upahara Darshini,+91 9845530078,"Opposite Bangalore Central Mall, 9th Block, Jayanagar, Bangalore",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,167
317,PHEW (Play Hard Eat Wild),+91 9365075799,"240, 7th cross, 1st Main, Mico Layout, Opposite Sate Bank of India, 2nd Stage, BTM Bangalore",3.9/5,Cafe,Yes,Yes,Bannerghatta Road,486
318,Anand Sweets and Savouries,080 22446973,"4 & 5, 27th Cross, 4th Block, Jayanagar, Bangalore",3.9/5,Sweet Shop,Yes,No,Banashankari,84
319,Calvin's,"080 40928823
+91 8970112299","67, 15th Cross, 3rd Phase, JP Nagar, Bangalore",2.9/5,Dessert Parlor,No,No,Bannerghatta Road,231
320,Hotel Aradhana,"+91 9731763663
+91 9448059620","193, N.S. Pallya, Bannerghatta Road, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,51
321,Vietnamese Kitchen,"080 26697884
080 26697883","Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore",3.6/5,Casual Dining,Yes,No,Banashankari,105
322,WAFL,+91 8951725759,"3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",3.9/5,Food Court,Yes,No,Bannerghatta Road,40
323,Samosa Singh,"+91 7349542202
+91 9148998212","#12, 12th Cross BDG Residency, Puttenahalli",4.0/5,Quick Bites,Yes,No,Bannerghatta Road,153
324,Messy Bowl,+91 8553453196,"24 th cross, 15th Main Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bangalore",3.8/5,Quick Bites,No,No,Banashankari,70
325,Polar Bear,080 49653453,"71, 1st Main Road, Panduranga Nagar, Doresanipalya Ward, Bannerghatta Road, Bangalore",3.9/5,Dessert Parlor,Yes,No,Bannerghatta Road,188
326,Chaitanya Cafe,+91 9902125334,"135/15, 100 Feet Ring Road, 3rd Phase, JP Nagar, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,92
327,Onesta,"080 48653961
080 48655715","2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",4.6/5,"Casual Dining, Cafe",Yes,Yes,Basavanagudi,2556
328,Sri Guru Kottureshwara Davangere Benne Dosa,"+91 9448305384
+91 9060079480","49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",4.1/5,Quick Bites,Yes,No,Banashankari,558
329,Slate Cafe,+91 8040923832,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",4.1/5,Cafe,Yes,No,Bannerghatta Road,46
330,Faasos,+91 7700020020,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",4.2/5,Quick Bites,Yes,No,Banashankari,415
331,KFC,080 33994444,"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",3.8/5,Quick Bites,Yes,No,Banashankari,505
332,Mahesh Friends Food Center,+91 9731081364,"14/6, 9th Main Road, Opposite Water Tank, 100 Feet Road, 2nd Stage, BTM, Bangalore",2.9/5,Quick Bites,Yes,No,Bannerghatta Road,126
333,Timepass Dinner,"+91 9980040002
+91 9980063005","37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,286
334,Shake It Off,+91 9008002832,"34, Ground Floor, 15th Cross, 4th Phase, JP Nagar, Bangalore",4.0/5,Beverage Shop,Yes,No,Bannerghatta Road,65
335,Apsara Ice Cream,04 141717410,"1065 B, 5th Cross, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",4.0/5,Dessert Parlor,No,No,Bannerghatta Road,65
336,Floured-Baked With Love,"+91 9845552266
+91 9845552288","415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",3.8/5,"Takeaway, Delivery",No,No,Banashankari,45
337,Gokul Veg,"+91 9980978388
080 26627612","1st Floor, GR Plaza, DVG Road, Near Gandhi Bazaar circle, Basavanagudi, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,469
338,Tandoori Knight,"+91 9035297404
+91 9731504721","34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",3.0/5,Quick Bites,Yes,No,Banashankari,290
339,Zaitoon,"080 41477977
080 41488988","21, 24th Main Road, 6th Phase, JP Nagar, Bangalore",4.1/5,Casual Dining,Yes,Yes,Bannerghatta Road,1538
340,Hakuna Matata,"+91 9741133866
+91 9880548165","1231/35/2, 24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",4.5/5,"Casual Dining, Bar",No,No,Bannerghatta Road,2781
341,The Onyx - The HHI Select Bengaluru,"+91 9742281239
+91 8884404894","The HHI Select Bengaluru Hotel, 686, 15th Cross, Ring Road, 2nd Phase, JP Nagar, Bangalore",3.3/5,Casual Dining,No,No,Bannerghatta Road,177
342,Gud Dhani,080 50060017,"170, 16th Main, 2nd Stage, BTM, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,827
343,Curry Leaves,"+91 8048666976
+91 8026760130","15, 1st Main, Kariyappa Road, Basavanagudi, Bangalore",4.1/5,Casual Dining,Yes,No,Banashankari,176
344,Barbeque Nation,+91 8064806060,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",4.7/5,Casual Dining,No,Yes,Bannerghatta Road,3845
345,The Egg Factory,080 40124848,"288, Ground Floor, Opposite HP Petrol Pump, 15th Cross, 18th Main, 5th Phase, JP Nagar, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,1305
346,Targaryen's Kitchen,+91 7002618660,"63, 7th Cross , 24th Main, 2nd Phase, JP Nagar, Bangalore",3.6/5,Casual Dining,Yes,No,Bannerghatta Road,43
347,Savoury - Sea Shell Restaurant,"080 49994999
080 65555988","10, Near Maruti Sagar Automobiles, Bhavani Layout, Bannerghatta Road, Bangalore",3.9/5,Casual Dining,Yes,Yes,Bannerghatta Road,1227
348,Woodee Pizza,+91 7406827272,"305, Anand NR Onyx, 15th Cross, 100 Feet Ring Road, 5th Phase Extension, JP Nagar, Bangalore",2.7/5,Cafe,Yes,No,Bannerghatta Road,85
349,Chai Kraft,+91 9946666099,"146, 6th C Main Road, 1st Block, Jayanagar, Bangalore",4.1/5,Beverage Shop,Yes,No,Banashankari,30
350,Vinaya Coffee Moments,"+91 9538699211
080 49566825","Someshwara Bhavan, RBI Layout, 7th Phase, Kothnur Main Road, JP Nagar, Bangalore",3.7/5,Cafe,Yes,No,Bannerghatta Road,46
351,Jalsa,"080 42297555
+91 9743772233","942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.1/5,Casual Dining,Yes,Yes,Basavanagudi,775
352,Addhuri Udupi Bhojana,+91 9620009302,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,No,No,Banashankari,88
353,Kadala Tarangaa,"+91 9743491480
+91 9483528275","27, 27th Cross, 1st Floor, Kadamba Complex, 2nd Stage, Banashankari, Bangalore",3.6/5,Casual Dining,Yes,No,Banashankari,129
354,Wazir's,"080 22292668
080 41145555","546/5, Langford Road, Opposite Hockey Stadium, Shanti Nagar, Bangalore",3.3/5,Casual Dining,Yes,No,Basavanagudi,261
355,Hind Ka Chulah,"+91 9738933467
+91 8970646882","Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",3.8/5,Food Court,Yes,No,Bannerghatta Road,182
356,Oottupura Family Restaurant,+91 9731552255,"Opposite Shell Petrol Bunk, Gottigare Bannerghatta Road, Bangalore",3.4/5,Quick Bites,Yes,No,Bannerghatta Road,224
357,KFC,080 33994444,"948, 24th Main Road, 2nd Phase, JP Nagar, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,437
358,SlimSins Cafe,+91 9535582766,"34/1, 1st Cross, 6th Main, 4th Block, Jayanagar, Bangalore",4.1/5,Cafe,No,No,Basavanagudi,707
359,Woodee Pizza,+91 7406822844,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",3.7/5,Cafe,Yes,No,Banashankari,180
360,Cafe Mondo,080 42088686,"2/2, Pattalamma Gudi Street, Armugam Circle, Near South End Circle, Basavanagudi, Bangalore",3.7/5,Cafe,Yes,No,Basavanagudi,514
361,Shanmukha,080 49652639,"62, RB Fashion House, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore",4.0/5,Casual Dining,Yes,No,Basavanagudi,774
362,Hara Fine Dine,"080 42112211
+91 9880412211","2465, 2nd Floor, Opposite BDA Complex, 24th Cross, 2nd Stage, Banashankari, Bangalore",4.0/5,Casual Dining,Yes,Yes,Banashankari,633
363,Shanthi Sagar,+91 8217521220,"77/1, 24th Main, 2nd Phase, JP Nagar, Bangalore",3.6/5,Casual Dining,Yes,No,Bannerghatta Road,518
364,Bunt's Biriyani Palace,"080 26697231
+91 8711090256","487, 80 Feet Road, Bank Colony, 1st Stage, Banashankari, Bangalore",3.0/5,Quick Bites,Yes,No,Banashankari,213
365,Pure & Natural,"+91 9880372471
080 26633304","Near National College, 7th Block, Jayanagar, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,211
366,BOX8- Desi Meals,022 33552698,"100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore",4.1/5,"Takeaway, Delivery",Yes,No,Banashankari,340
367,Chulha Chauki Da Dhaba,"080 41204283
+91 7349738056","13, 7th Cross, 2nd Phase, JP Nagar, Bangalore",4.2/5,Casual Dining,Yes,No,Bannerghatta Road,2350
368,Chai Point,+91 8880141000,"Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",3.6/5,"Beverage Shop, Quick Bites",Yes,No,Bannerghatta Road,132
369,Chumma Delicious,"+91 9341262402
+91 9108648373","412, 1st Cross, Vidyapeeta Road, 3rd Stage, Banashankari, Bangalore",3.7/5,Quick Bites,Yes,No,Banashankari,237
370,Checkpost,"00 08043712184
+91 9880439859","47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",4.1/5,Casual Dining,Yes,No,Bannerghatta Road,952
371,Chicken Hunt,"+91 8762427116
+91 9591490143","222, 100 Feet Road, Near Kathriguppe Signal, Opposite Udbav Hospital, 6th Block, 3rd Stage, Banashankari, Bangalore",3.5/5,Quick Bites,Yes,No,Banashankari,88
372,Vasudev Adiga's,"+91 8494911156
080 22940208","204, Opposite HSBC Bank, 11th KM Stone, Bilekahalli, BG Road, Bannerghatta Road, Bangalore",2.3/5,Casual Dining,No,No,Bannerghatta Road,291
373,Sip n Dine,"+91 9741464017
080 23402484","998/20, Poornima Complex, First Floor, Service Road, R.P.C. Layout, Vijay Nagar, Bangalore",3.6/5,Casual Dining,Yes,No,Banashankari,218
374,Andhra Ruchulu,"+91 9980909192
+91 9900265022","The President Hotel, 79/8, Diagonal Road, 3rd Block, Jayanagar, Bangalore",4.1/5,"Casual Dining, Bar",Yes,Yes,Banashankari,666
375,Bhukkhad Baba,+91 6361316696,"7th Cross, 6th Main, Shakambhari Nagar, Sarakki, JP Nagar, Bangalore",3.7/5,Quick Bites,Yes,No,Basavanagudi,125
376,Kirthi's Biryani,"080 26711554
+91 9741406338","405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",3.8/5,Cafe,Yes,No,Banashankari,144
377,Nagarjuna,"080 41300400
080 41300500","174/1, Bannerghatta Main Road, Bannerghatta Road, Bangalore",4.2/5,Casual Dining,No,No,Bannerghatta Road,1278
378,Garma Garam,"+91 9986834292
+91 8660426565","MICO Layout, Arakere, Opposite Vijaya Bank, Bannerghatta Road, Bangalore",3.2/5,Quick Bites,Yes,No,Bannerghatta Road,144
379,Vi Ra's Bar and Restaurant,"+91 9845063930
+91 7411148111","3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",3.3/5,Bar,No,No,Banashankari,62
380,Upahar Sagar,"+91 9164571705
080 26760336","727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",3.8/5,Quick Bites,No,No,Banashankari,39
381,Dev Sagar - Food Street,"+91 9886204745
0161 26624745","11/2, Old Market, V V Puram, Basavanagudi, Bangalore",4.1/5,Quick Bites,Yes,No,Basavanagudi,233
382,Seasons,"+91 7411898898
+91 7411798798","7, DSR Galleria, Opp Kalyani Motors, Bilekahalli Gate, Bannerghatta Road, Bangalore",3.8/5,Casual Dining,Yes,Yes,Bannerghatta Road,500
383,Donne Biriyani House,"+91 8197743537
080 26690642","4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore",3.9/5,Quick Bites,Yes,No,Banashankari,441
384,Lalchee's Rasoi,"+91 8197829385
+91 9980902935","Doddakammanahalli Main Road, Near Aikya Apartment, Next to Chef & Butcher, Bannerghatta Road, Bangalore",3.6/5,Casual Dining,No,No,Bannerghatta Road,162
385,Gud Dhani,080 50060017,"170, 16th Main, 2nd Stage, BTM, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,827
386,Alankrutha,080 71967536,"935, Sri Arcade, 1st Floor, 16th Main Road, Near Udupi Garden Signal, BTM, Bangalore",3.9/5,Casual Dining,Yes,No,Bannerghatta Road,255
387,Bikaner Jn,+91 9163568669,"62, 24th Main, 7th Cross, 2nd Phase, Opposite to R V Dental College, JP Nagar, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,85
388,Taaza Thindi,080 49510845,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",4.7/5,Quick Bites,No,No,Banashankari,651
389,Green Gardenia,"080 26698822
+91 9945704570","376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,160
390,Bhavani Restaurant,"+91 7349414217
080 43752748","54, Bull Temple Road, Gavipuram Extn, Gavipuram Extention, Basavanagudi, Bangalore",3.9/5,Quick Bites,No,No,Banashankari,100
391,The Krishna Grand Xpress,+91 9845108265,"183/28, 2nd Main Road, 36th B Cross, 7th Block, Jayanagar, Bangalore",4.0/5,Quick Bites,Yes,No,Banashankari,136
392,Grills & Rolls,080 26593949,"17/1, SNVR Complex, Opposite Royal School, 24th Main, 18th Cross, JP Nagar, Bangalore",2.5/5,Quick Bites,Yes,No,Bannerghatta Road,321
393,The Shawarma Shop,+91 9343665007,"688, Opposite IWWA Party Hall, 7th Main, BTM, Bangalore",4.1/5,Quick Bites,Yes,No,Bannerghatta Road,381
394,Asha Sweets Centre,080 26492939,"9, 24th Main, 4th Cross, Marenahalli Village, 2nd Phase, JP Nagar, Bangalore",3.9/5,Dessert Parlor,Yes,No,Bannerghatta Road,42
395,Melt - Eden Park,+91 9606487102,"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",4.0/5,Casual Dining,Yes,Yes,Bannerghatta Road,347
396,Spice Elephant,080 41714161,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",4.1/5,Casual Dining,Yes,No,Banashankari,787
397,Imperial Restaurant,"+91 7338431313
080 26741313","153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",3.7/5,Casual Dining,Yes,No,Banashankari,264
398,Spice Elephant,080 41714161,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",4.1/5,Casual Dining,Yes,No,Banashankari,787
399,Krispy Kreme,080 41718398,"Opposite Kala Mandir, 11th Main, 4th Block, Jayanagar, Bangalore",4.0/5,Dessert Parlor,Yes,No,Basavanagudi,253
400,De Thaali,080 22445267,"137/4, 8th Main Road, 27th Cross, Jayanagar, Bangalore",3.9/5,Casual Dining,Yes,No,Banashankari,144
401,Stoned Monkey,"+91 9972710694
+91 9972710894","415, 9th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",4.3/5,Dessert Parlor,Yes,No,Banashankari,860
402,Brews N Bites,+91 9886791151,"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",2.7/5,"Quick Bites, Cafe",Yes,No,Bannerghatta Road,48
403,The Egg Factory,080 40124848,"288, Ground Floor, Opposite HP Petrol Pump, 15th Cross, 18th Main, 5th Phase, JP Nagar, Bangalore",4.0/5,Casual Dining,Yes,No,Bannerghatta Road,1306
404,Vybhava,+91 8026653198,"35-1, Near Yediyur Lake, Kanakapura Road, Jayanagar, Bangalore",3.8/5,Quick Bites,No,No,Banashankari,39
405,Vyanjan,+91 9916937446,"744, 13th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,199
406,Amande Patisserie,080 26761080,"115, 4th Main, 4th Stage, Thyagarajanagar, Near, Basavanagudi, Bangalore",4.0/5,Bakery,Yes,No,Banashankari,73
407,Upahar Sagar,"+91 9164571705
080 26760336","727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",3.8/5,Quick Bites,No,No,Banashankari,39
408,Basmati Delights,"080 65996599
+91 9141111222","Shop 1, 1st Floor, BTM Complex, 9th Main Road, Layout 1st Stage, BTM, Bangalore",4.0/5,Delivery,Yes,No,Bannerghatta Road,869
409,Pizza Stop,080 46640404,"66/1, Kanakpura Road, Basavanagudi, Bangalore",3.8/5,Quick Bites,Yes,No,Banashankari,164
410,Beijing Bites,"080 41463677
080 41463877","31, 1st Floor, RR Images, Panduranga Nagar, Near Arakere, Bannerghatta Road, Bangalore",2.7/5,Casual Dining,No,No,Bannerghatta Road,160
411,Gustoes Beer House,080 49653521,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",4.1/5,Pub,No,No,Banashankari,868
412,Tiwari's,"+91 9844733389
+91 7829398815","616/2, 31st Cross, 10th A Main Road, 4th block, Jayanagar, Bangalore",3.8/5,Quick Bites,Yes,No,Banashankari,70
413,D View Cafe,+91 9538943596,"1318, Near Bangalore Central, 2nd Phase, JP Nagar, Bangalore",4.0/5,"Cafe, Quick Bites",Yes,No,Bannerghatta Road,507
414,Dadi's Dum Biryani,"+91 7090377777
080 43716050","7, 2nd Floor, Krish Towers, Arekere Signal, Bannerghatta Road, Bangalore",4.0/5,Casual Dining,Yes,Yes,Bannerghatta Road,739
415,Sattvam,"080 26595000
+91 9483275526","281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",4.3/5,Casual Dining,No,No,Bannerghatta Road,353
416,Vinny's,080 26716795,"2467, 24th Cross, 2nd Stage, Banashankari, Bangalore",4.2/5,Casual Dining,Yes,Yes,Banashankari,2115
417,Vinaya Cafe,"080 41233313
+91 7022281100","30, 33rd Main, 16th Cross, 6th Phase, JP Nagar, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,55
418,Dadi's Dum Biryani,"+91 7090999991
+91 7090599999","14, Krishnanagara Industrial Area, Next To Christ College, Near Dairy Circle, BTM, Bangalore",4.1/5,Casual Dining,Yes,Yes,Basavanagudi,2723
419,Namma Kudla,"080 42075762
+91 9448212907","18, Near RV Dental College, 5th 'A' Cross, Marenahalli, 2nd Phase, JP Nagar, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,200
420,Timepass Dinner,"+91 9980040002
+91 9980063005","37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,286
421,Olive - Era,"080 42017174
080 42021219","1763, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",3.3/5,Casual Dining,Yes,No,Banashankari,511
422,Ishta Cafe,+91 9972314007,"26/2, Dodda Kammanahalli, Bannerghatta Road, Bangalore",3.9/5,Quick Bites,Yes,No,Bannerghatta Road,63
423,Parkview,"080 41509991
+91 9343078070","45, Opposite Mini Forest, 1st Main, 3rd Phase, JP Nagar, Bangalore",4.0/5,Quick Bites,No,No,Bannerghatta Road,129
424,Pizza Stop,080 46640404,"2454, 17th E Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",3.0/5,Quick Bites,Yes,No,Banashankari,87
425,House Of Kebabs,080 49653042,"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",3.8/5,Casual Dining,Yes,No,Basavanagudi,540
426,Cafe Ajfan,"+91 7022022107
+91 9606791771","Shop 66/1, 4th Block, Near Maiys Hotel, 33rd Cross Road, Jayanagar, Bangalore",4.2/5,Cafe,Yes,No,Banashankari,261
427,Castle Rock,"080 42014000
+91 9845030125","1/2, Opposite Indian Oil Petrol Bunk, 1st Cross, Kaderanhalli Crossroad, Subramanyapura Main Road, Padmanabhanagar, Uttarahalli, Bangalore",3.6/5,Casual Dining,Yes,No,Banashankari,172
428,XO Belgian Waffle,080 45128804,"948, 16th Main, MICO Layout, 2nd Stage, BTM, Bangalore",4.5/5,Dessert Parlor,Yes,No,Bannerghatta Road,549
429,FreshMenu,080 40424242,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",3.9/5,Delivery,Yes,No,Basavanagudi,627
430,Mudpipe Cafe,+91 9448056565,"44-45, Terrace Floor, 24th Main Road, 7th phase, JP Nagar, Bangalore",3.9/5,Cafe,Yes,Yes,Bannerghatta Road,727
431,Sree Krishna Kafe,+91 8792556140,"5, SSAR Towers, Opposite Royal School, 24th Main Road, 5th Phase, JP Nagar, Bangalore",3.9/5,Quick Bites,No,No,Bannerghatta Road,115
432,Drunken Monkey,"+91 8618471544
+91 9148489793","54/55, 3rd Cross, Omkar Nagar, Arekere Gate, Bannerghatta Road, Bangalore",4.4/5,"Beverage Shop, Quick Bites",Yes,No,Bannerghatta Road,288
433,Sweet Truth,+91 7710055553,"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",4.1/5,Delivery,Yes,No,Bannerghatta Road,41
434,Al-Bek,080 43334321,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",3.6/5,"Takeaway, Delivery",Yes,No,Bannerghatta Road,208
435,Leon Grill,"+91 9972001409
+91 7349482017","568, 11th Main Road, 32nd Cross, 4th Block, Jayanagar, Bangalore",4.1/5,Quick Bites,Yes,No,Basavanagudi,414
436,Gokul Veg,"+91 9980978388
080 26627612","1st Floor, GR Plaza, DVG Road, Near Gandhi Bazaar circle, Basavanagudi, Bangalore",3.8/5,Casual Dining,Yes,No,Banashankari,469
437,Hyderabadi Bawarchi,"+91 7829488222
+91 7829588222","633/B555, Panduranga Nagar, Near Arekere Gate, Bannerghatta Road, Bangalore",3.2/5,Casual Dining,Yes,No,Bannerghatta Road,133
438,The Curry Hut Plus,"080 49517195
+91 9632596058","48/4, Opposite Aikya Apartments, Chickakammanahalli, Hulimavu, Bannerghatta Road, Bangalore",3.4/5,Casual Dining,Yes,No,Bannerghatta Road,116
439,Cream Stone,080 26592229,"312, 15th Cross, 5th Phase, JP Nagar, Bangalore",4.0/5,Dessert Parlor,No,No,Bannerghatta Road,319
440,Three Dots & A Dash,080 49652186,"47/1, 4th Floor, 9th Cross, 1st Main, Miniforest, Phase 3, JP Nagar, Bangalore",4.3/5,"Bar, Casual Dining",No,Yes,Bannerghatta Road,1196
441,Energy Addaa,080 49652857,"Rashtriya Vidyalaya Road, Basavanagudi, Bangalore",4.2/5,Quick Bites,Yes,No,Banashankari,64
442,Spice Elephant,080 41714161,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",4.1/5,Casual Dining,Yes,No,Banashankari,787
443,Go Native,080 49653539,"64, 10th Main Road, 5th Block, Jayanagar, Bangalore",4.3/5,"Casual Dining, Cafe",Yes,Yes,Basavanagudi,1252
444,Cakebuy,+91 8496934114,"1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Bannerghatta Road, Bangalore",3.9/5,Dessert Parlor,Yes,No,Bannerghatta Road,70
445,Magix's Parattha Roll,080 49652620,"96, 100 Feet Ring Road, Vysya Bank Colony, 1st Stage, BTM, Bangalore",3.7/5,Quick Bites,Yes,No,Bannerghatta Road,184
